,Unnamed: 0,Country,City,Year,co,no2,o3,pm10,pm25,so2,lat,lon
0,0,AT,Graz,2016,0.1,15.433333333333332,,21.666666666666668,,1.6000000000000003,47.0708678,15.4382786
1,1,AT,Graz,2017,0.1,12.301092896174865,,22.53551912568306,,1.4262295081967211,47.0708678,15.4382786
2,2,AT,Graz,2018,0.1,10.634972677595629,,20.19672131147541,,1.2836065573770492,47.0708678,15.4382786
3,3,AT,Graz,2019,0.0999999999999999,9.852139037433156,,16.844919786096256,,1.137265415549598,47.0708678,15.4382786
4,4,AT,Graz,2020,0.1,8.79240506329114,,17.083544303797467,,1.0227848101265822,47.0708678,15.4382786
5,5,AT,Graz,2021,0.1,9.352442159383031,,18.053984575835475,,1.010025706940874,47.0708678,15.4382786
6,6,AT,Graz,2022,0.1,6.710169491525424,,16.579661016949153,35.16019417475728,1.008813559322034,47.0708678,15.4382786
7,7,AT,Graz,2023,0.1,11.5,,31.0,102.0,1.6,47.0708678,15.4382786
8,8,AT,Innsbruck,2016,0.1,26.183333333333334,,23.166666666666668,,2.833333333333333,47.2654296,11.3927685
9,9,AT,Innsbruck,2017,0.1,16.793442622950817,,16.169398907103826,,1.838271604938272,47.2654296,11.3927685
10,10,AT,Innsbruck,2018,0.1,15.05,,15.688524590163937,,1.1128048780487805,47.2654296,11.3927685
11,11,AT,Innsbruck,2019,0.1,13.808847184986597,,13.691689008042896,,0.917391304347826,47.2654296,11.3927685
12,12,AT,Innsbruck,2020,0.1,11.486005089058525,,13.944020356234097,,0.8453488372093023,47.2654296,11.3927685
13,13,AT,Innsbruck,2021,0.1,10.581491002570694,,14.007712082262213,,0.7942779291553134,47.2654296,11.3927685
14,14,AT,Innsbruck,2022,0.1,8.569830508474576,,12.440677966101696,,0.7076335877862595,47.2654296,11.3927685
15,15,AT,Innsbruck,2023,0.1,8.3,,13.0,,0.6,47.2654296,11.3927685
16,16,AT,Linz,2016,0.1,13.233333333333334,,16.666666666666668,50.333333333333336,3.783333333333333,48.3059078,14.286198
17,17,AT,Linz,2017,0.1,12.82622950819672,,19.30054644808743,52.92896174863388,1.6781420765027324,48.3059078,14.286198
18,18,AT,Linz,2018,0.1,11.260655737704916,,20.666666666666668,55.51912568306011,1.4464480874316938,48.3059078,14.286198
19,19,AT,Linz,2019,0.1,10.979514824797844,,16.364383561643837,45.0986301369863,1.8921832884097036,48.3059078,14.286198
20,20,AT,Linz,2020,0.1,9.207088607594937,,14.359493670886076,40.28607594936709,1.9344303797468356,48.3059078,14.286198
21,21,AT,Linz,2021,0.1,9.275578406169666,,15.264781491002571,42.745501285347046,1.904639175257732,48.3059078,14.286198
22,22,AT,Linz,2022,0.1,8.205442176870749,,14.819727891156464,41.255102040816325,1.618027210884354,48.3059078,14.286198
23,23,AT,Linz,2023,0.1,8.7,,53.0,139.0,2.1,48.3059078,14.286198
24,24,AT,Salzburg,2016,0.1,18.9,,18.83333333333333,,1.8833333333333333,47.7981346,13.0464806
25,25,AT,Salzburg,2017,0.1,18.708196721311477,,19.983606557377048,,1.9207650273224044,47.7981346,13.0464806
26,26,AT,Salzburg,2018,0.1,16.351912568306012,,18.852459016393443,,1.5426229508196725,47.7981346,13.0464806
27,27,AT,Salzburg,2019,0.0999999999999999,14.91951871657754,,15.141711229946525,,1.6782258064516131,47.7981346,13.0464806
28,28,AT,Salzburg,2020,0.1,10.821012658227849,,13.19746835443038,,1.4354430379746836,47.7981346,13.0464806
29,29,AT,Salzburg,2021,0.1,11.337532133676094,,13.874035989717225,30.17105263157895,1.5512886597938145,47.7981346,13.0464806
30,30,AT,Salzburg,2022,0.1,8.380338983050846,,12.31186440677966,35.061016949152545,1.7716723549488056,47.7981346,13.0464806
31,31,AT,Salzburg,2023,0.1,9.2,,18.0,46.0,0.8,47.7981346,13.0464806
32,32,AT,Vienna,2016,0.1,12.066666666666665,,11.833333333333334,37.0,2.216666666666667,48.2083537,16.3725042
33,33,AT,Vienna,2017,0.1,10.027868852459015,,20.05464480874317,53.09836065573771,2.6464480874316942,48.2083537,16.3725042
34,34,AT,Vienna,2018,0.0999999999999999,9.246448087431691,,19.56830601092896,52.82513661202186,2.6540983606557376,48.2083537,16.3725042
35,35,AT,Vienna,2019,0.1,8.276470588235295,,15.272727272727272,42.68181818181818,1.536631016042781,48.2083537,16.3725042
36,36,AT,Vienna,2020,0.1,7.342278481012658,,14.51645569620253,39.80506329113924,1.098227848101266,48.2083537,16.3725042
37,37,AT,Vienna,2021,0.1,7.609768637532134,,15.359897172236504,41.46529562982005,1.0326478149100258,48.2083537,16.3725042
38,38,AT,Vienna,2022,0.1,6.755593220338984,,13.850847457627118,35.21694915254237,1.3135593220338984,48.2083537,16.3725042
39,39,AT,Vienna,2023,0.1,11.0,,28.0,80.0,1.1,48.2083537,16.3725042
40,40,BA,Sarajevo,2016,0.1,18.933333333333334,7.3,123.33333333333331,,22.53333333333333,43.8570713,18.4126147
41,41,BA,Sarajevo,2017,0.1,12.331843575418995,21.768156424581004,37.23463687150838,,11.808379888268156,43.8570713,18.4126147
42,42,BA,Sarajevo,2018,0.125625,12.154878048780487,10.712195121951218,42.707317073170735,54.8974358974359,9.12439024390244,43.8570713,18.4126147
43,43,BA,Sarajevo,2019,3.075074183976261,10.095714285714283,22.947863247863246,34.01136363636363,84.82649842271293,8.009943181818182,43.8570713,18.4126147
44,44,BA,Sarajevo,2020,5.956542056074767,7.210025706940874,17.378030303030304,36.66666666666666,83.83585858585859,11.5451871657754,43.8570713,18.4126147
45,45,BA,Sarajevo,2021,4.258862876254181,9.663072776280323,17.226954177897575,29.12398921832884,73.51546391752578,10.084813753581662,43.8570713,18.4126147
46,46,BA,Sarajevo,2022,2.223481781376518,8.978947368421053,22.106072874493925,24.94331983805668,67.0406779661017,5.247368421052631,43.8570713,18.4126147
47,47,BA,Sarajevo,2023,,,,,185.0,,43.8570713,18.4126147
48,48,BA,Tuzla,2016,0.1,10.225,7.875,,110.75,28.1,44.539298,18.6749337
49,49,BA,Tuzla,2017,0.1,10.07158469945355,9.74863387978142,,110.8688524590164,27.74098360655738,44.539298,18.6749337
50,50,BA,Tuzla,2018,0.1,9.869398907103824,9.543715846994536,,99.2622950819672,21.02295081967213,44.539298,18.6749337
51,51,BA,Tuzla,2019,0.1013736263736263,9.84945355191257,7.47304347826087,,84.75206611570248,18.272131147540986,44.539298,18.6749337
52,52,BA,Tuzla,2020,0.1,8.047979797979798,10.715151515151517,,88.82828282828282,22.28131313131313,44.539298,18.6749337
53,53,BA,Tuzla,2021,0.1,9.923650385604114,16.14215938303342,32.88306451612903,85.05912596401028,25.22442159383033,44.539298,18.6749337
54,54,BA,Tuzla,2022,0.1,8.104794520547944,14.319520547945206,24.91826923076923,60.89383561643836,25.426027397260277,44.539298,18.6749337
55,55,BA,Tuzla,2023,0.1,10.8,1.3,,165.0,53.5,44.539298,18.6749337
56,56,BA,Zenica,2016,10.0,12.45,8.766666666666667,83.66666666666667,,52.43333333333334,44.199828,17.9093012
57,57,BA,Zenica,2017,3.932584269662921,8.906145251396648,14.74804469273743,46.81005586592179,,28.060893854748603,44.199828,17.9093012
58,58,BA,Zenica,2018,5.965476190476191,6.432142857142857,15.168452380952385,38.70238095238095,,26.68452380952381,44.199828,17.9093012
59,59,BA,Zenica,2019,5.001420454545454,9.292045454545455,19.211079545454545,38.71509971509972,73.74501992031873,26.857670454545453,44.199828,17.9093012
60,60,BA,Zenica,2020,4.623484848484849,11.016962025316456,22.37449494949495,38.59090909090909,76.77941176470588,31.598484848484848,44.199828,17.9093012
61,61,BA,Zenica,2021,4.7895161290322585,7.04331550802139,23.11769436997319,35.37801608579088,58.61333333333334,32.798382749326144,44.199828,17.9093012
62,62,BA,Zenica,2022,2.506477732793522,6.023886639676114,15.549797570850204,26.57085020242915,48.5609756097561,22.836437246963563,44.199828,17.9093012
63,63,BE,Antwerpen,2016,0.1,17.566666666666666,5.466666666666668,24.83333333333333,71.83333333333333,1.6000000000000003,51.2211097,4.3997081
64,64,BE,Antwerpen,2017,0.1,13.321311475409836,17.307344632768363,20.939890710382517,55.19672131147541,2.5209944751381217,51.2211097,4.3997081
65,65,BE,Antwerpen,2018,0.1,11.990163934426228,18.645555555555557,23.081967213114755,53.814207650273225,2.434806629834254,51.2211097,4.3997081
66,66,BE,Antwerpen,2019,0.1,11.03780160857909,16.782702702702704,19.528150134048257,44.66219839142091,2.74366576819407,51.2211097,4.3997081
67,67,BE,Antwerpen,2020,0.1,9.06064139941691,18.078614457831325,18.971052631578942,41.03421052631579,3.2482352941176478,51.2211097,4.3997081
68,68,BE,Antwerpen,2021,0.1,11.147668393782384,19.3,19.84536082474227,46.123711340206185,3.257216494845361,51.2211097,4.3997081
69,69,BE,Antwerpen,2022,,,,17.22457627118644,34.61864406779661,,51.2211097,4.3997081
70,70,BE,Brussels,2016,0.1,17.5,6.066666666666666,23.666666666666668,68.83333333333333,1.225,50.8467372,4.352493
71,71,BE,Brussels,2017,0.1,12.519125683060109,17.48846153846154,19.28415300546448,52.22950819672131,0.897945205479452,50.8467372,4.352493
72,72,BE,Brussels,2018,0.0999999999999999,11.231693989071038,18.37486338797814,20.49180327868853,51.90163934426229,1.5782608695652176,50.8467372,4.352493
