,Country,City,Year,co,no2,o3,pm10,pm25,so2
0,AT,Graz,2016,0.10000000000000002,15.433333333333332,,21.666666666666668,,1.6000000000000003
1,AT,Graz,2017,0.1,12.301092896174863,,22.53551912568306,,1.4262295081967213
2,AT,Graz,2018,0.1,10.634972677595629,,20.19672131147541,,1.2836065573770492
3,AT,Graz,2019,0.09999999999999999,9.852139037433155,,16.844919786096256,,1.137265415549598
4,AT,Graz,2020,0.1,8.79240506329114,,17.083544303797467,,1.0227848101265822
5,AT,Graz,2021,0.10000000000000002,9.352442159383033,,18.053984575835475,,1.010025706940874
6,AT,Graz,2022,0.1,6.7101694915254235,,16.579661016949153,35.16019417475728,1.008813559322034
7,AT,Graz,2023,0.1,11.5,,31.0,102.0,1.6
8,AT,Innsbruck,2016,0.10000000000000002,26.183333333333334,,23.166666666666668,,2.8333333333333335
9,AT,Innsbruck,2017,0.1,16.793442622950817,,16.169398907103826,,1.8382716049382717
10,AT,Innsbruck,2018,0.1,15.049999999999999,,15.688524590163935,,1.1128048780487805
11,AT,Innsbruck,2019,0.1,13.808847184986595,,13.691689008042895,,0.9173913043478261
12,AT,Innsbruck,2020,0.1,11.486005089058525,,13.944020356234097,,0.8453488372093023
13,AT,Innsbruck,2021,0.1,10.581491002570694,,14.007712082262211,,0.7942779291553134
14,AT,Innsbruck,2022,0.1,8.569830508474576,,12.440677966101696,,0.7076335877862595
15,AT,Innsbruck,2023,0.1,8.3,,13.0,,0.6
16,AT,Linz,2016,0.10000000000000002,13.233333333333334,,16.666666666666668,50.333333333333336,3.783333333333333
17,AT,Linz,2017,0.1,12.82622950819672,,19.30054644808743,52.92896174863388,1.6781420765027324
18,AT,Linz,2018,0.1,11.260655737704917,,20.666666666666668,55.51912568306011,1.4464480874316938
19,AT,Linz,2019,0.1,10.979514824797844,,16.364383561643837,45.0986301369863,1.8921832884097034
20,AT,Linz,2020,0.1,9.207088607594937,,14.359493670886076,40.28607594936709,1.9344303797468354
21,AT,Linz,2021,0.10000000000000002,9.275578406169666,,15.264781491002571,42.745501285347046,1.9046391752577319
