ID,Migratory route codes,Migration nodes,Bird orders,Bird families,Bird genera,English Name,Bird species,Species Authority,Migration type,The IUCN Red List (2023),Migration start year,Migration start month,Migration end year,Migration end month,"Continents (1 = North America, 2 = South America, 3 = Europe, 4 = Africa, 5 = Asia, 6 = Oceania)",Countries,Provinces,GPS_xx,GPS_yy,"Migration patterns (1 = Intercontinental migration, 2 = Intracontinental migration)","Migration routes (1 = North America↔North America, 2 = South America↔South America, 3 = Europe↔Europe, 4 = Africa↔Africa, 5 = Asia↔Asia, 6 = Oceania↔Oceania, 7 = Europe→Africa, 8 = Africa→Europe, 9 = North America→South America, 10 = South America→North America, 11 = Europe→Asia, 12 = Asia→Europe, 13 = Asia→Africa, 14 = Africa→Asia, 15 = Europe→North America, 16 = North America→Europe, 17 = Asia→Oceania, 18 = Oceania→Asia, 19 = North America→Oceania, 20 = Oceania→North America, 21 = North America→Asia)",References,Publish time,DOI
8974,380,Transit locations,Passeriformes,Vireonidae,Vireo,Vireo olivaceus,Vireo olivaceus,"Linnaeus, 1766",Full migrant,Least Concern,2012 ,4 ,2012,5,1,United States,Alabama,-86.8279668,32.79324244,1,10,Prolonged spring migration in the Red-eyed Vireo (Vireo olivaceus),2013,DOI:10.1525/auk.2013.12213
8975,380,Transit locations,Passeriformes,Vireonidae,Vireo,Vireo olivaceus,Vireo olivaceus,"Linnaeus, 1766",Full migrant,Least Concern,2012 ,4 ,2012,5,1,United States,Tennessee,-86.34243191,35.84419441,1,10,Prolonged spring migration in the Red-eyed Vireo (Vireo olivaceus),2013,DOI:10.1525/auk.2013.12213
8976,380,Transit locations,Passeriformes,Vireonidae,Vireo,Vireo olivaceus,Vireo olivaceus,"Linnaeus, 1766",Full migrant,Least Concern,2012 ,4 ,2012,5,1,United States,Kentucky,-85.2891026,37.52685168,1,10,Prolonged spring migration in the Red-eyed Vireo (Vireo olivaceus),2013,DOI:10.1525/auk.2013.12213
8977,380,Destination,Passeriformes,Vireonidae,Vireo,Vireo olivaceus,Vireo olivaceus,"Linnaeus, 1766",Full migrant,Least Concern,2012 ,5 ,2013,5,1,United States,Ohio,-82.62697514,40.47703457,1,10,Prolonged spring migration in the Red-eyed Vireo (Vireo olivaceus),2013,DOI:10.1525/auk.2013.12213
9021,382,Origin,Passeriformes,Vireonidae,Vireo,Vireo olivaceus,Vireo olivaceus,"Linnaeus, 1766",Full migrant,Least Concern,2011 ,10 ,2012,4,2,Colombia,Vaupés,-70.56799975,0.601072146,1,10,Prolonged spring migration in the Red-eyed Vireo (Vireo olivaceus),2013,DOI:10.1525/auk.2013.12213
9022,382,Transit locations,Passeriformes,Vireonidae,Vireo,Vireo olivaceus,Vireo olivaceus,"Linnaeus, 1766",Full migrant,Least Concern,2011 ,10 ,2012,4,2,Colombia,Guaviare,-72.1267888,1.897604879,1,10,Prolonged spring migration in the Red-eyed Vireo (Vireo olivaceus),2013,DOI:10.1525/auk.2013.12213
9023,382,Transit locations,Passeriformes,Vireonidae,Vireo,Vireo olivaceus,Vireo olivaceus,"Linnaeus, 1766",Full migrant,Least Concern,2011 ,10 ,2012,4,2,Colombia,Meta,-72.96614806,3.318787144,1,10,Prolonged spring migration in the Red-eyed Vireo (Vireo olivaceus),2013,DOI:10.1525/auk.2013.12213
9024,382,Transit locations,Passeriformes,Vireonidae,Vireo,Vireo olivaceus,Vireo olivaceus,"Linnaeus, 1766",Full migrant,Least Concern,2011 ,10 ,2012,4,2,Colombia,Casanare,-71.62288965,5.368557706,1,10,Prolonged spring migration in the Red-eyed Vireo (Vireo olivaceus),2013,DOI:10.1525/auk.2013.12213
9025,382,Transit locations,Passeriformes,Vireonidae,Vireo,Vireo olivaceus,Vireo olivaceus,"Linnaeus, 1766",Full migrant,Least Concern,2011 ,10 ,2012,4,2,Algeria,Sétif,-73.12176349,5.759532068,1,10,Prolonged spring migration in the Red-eyed Vireo (Vireo olivaceus),2013,DOI:10.1525/auk.2013.12213
9026,382,Transit locations,Passeriformes,Vireonidae,Vireo,Vireo olivaceus,Vireo olivaceus,"Linnaeus, 1766",Full migrant,Least Concern,2011 ,10 ,2012,4,2,Colombia,Santander,-73.51501539,6.675394056,1,10,Prolonged spring migration in the Red-eyed Vireo (Vireo olivaceus),2013,DOI:10.1525/auk.2013.12213
