,Country Name,Country Code,Year,Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Agricultural land (% of land area),Agricultural land (sq. km),Alternative and nuclear energy (% of total energy use),Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Waste (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Electric power consumption (kWh per capita),Energy intensity level of primary energy (MJ/$2021 PPP GDP),Energy use (kg of oil equivalent per capita),F-gases emissions from Industrial Processes (Mt CO2e),Forest area (% of land area),Forest area (sq. km),Forest rents (% of GDP),Fossil fuel energy consumption (% of total),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"GNI per capita, Atlas method (current US$)","Industry (including construction), value added (current US$)",Land area (sq. km),Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),Methane (CH4) emissions from Agriculture (Mt CO2e),Methane (CH4) emissions from Building (Energy) (Mt CO2e),Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e),Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e),Methane (CH4) emissions from Industrial Processes (Mt CO2e),Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),Methane (CH4) emissions from Transport (Energy) (Mt CO2e),Methane (CH4) emissions from Waste (Mt CO2e),Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Waste (Mt CO2e),Population density (people per sq. km of land area),Population in the largest city (% of urban population),Terrestrial and marine protected areas (% of total territorial area),Terrestrial protected areas (% of total land area),Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),Total greenhouse gas emissions including LULUCF (Mt CO2e),Urban population,Urban population (% of total population),Urban population growth (annual %),GDP_per_capita_log
154,Italy,ITA,2019,100.0,100.0,100.0,44.3699956377212,131209.62,8.98,-21.9443384989115,332.562,5.56784056329278,0.8355,68.7628,13.5866,31.171,20.9802,96.2917,100.9187,0.0156,1.8967,-44.528,0.8608,-4.9845,-48.1942,5260.0173104957,2.43,2494.02659804115,18.0291,32.1669704480973,95123.2,0.0125399040100598,0.0,0.429162533780342,33812.788724868,1.13464411867925,35030.0,424365807330.98,295717.0,48.3559,22.7972,2.3867,4.4912,0.051,0.0363,0.2482,0.3898,17.9555,9.2871,0.9486,0.0101,0.0622,1.5707,0.3751,0.9103,1.3805,201.980545589195,10.1988433108679,13.3,21.5,413.4916,6.92278523421447,365.2974,41514698.0,69.5050010681153,-0.664041140382544,10.428623948721835
155,Italy,ITA,2020,100.0,100.0,100.0,42.332263616904,125183.7,9.77,-30.7104322773335,295.2134,4.96667406979317,0.903,67.0095,11.4134,29.4835,19.206,86.5088,80.6748,0.0144,1.8927,-41.1774,0.8608,-1.4064,-40.4766,4969.24141417202,2.47,2313.10006204514,16.8407,32.3489349614665,95661.3,0.0098932690402957,0.0,-8.86822122185345,32091.4866621366,-8.42323993924451,32600.0,399888226064.904,295717.0,49.0779,22.9137,2.3015,4.5653,0.0506,0.0323,0.242,0.3091,18.6633,9.4939,0.9419,0.0085,0.0615,1.4118,0.3312,0.734,1.3813,200.999100491348,10.30236673494,14.0,21.5,375.4962,6.31735293806403,335.0196,41321146.0,69.5187492370606,-0.467315458844802,10.376377221352127
156,Italy,ITA,2021,100.0,100.0,100.0,41.9422315930434,124030.309,8.92,-22.4638927844246,330.3484,5.58651571090224,0.6211,69.3226,13.0514,42.0062,22.2143,84.9906,98.1237,0.0186,1.886,-42.0073,0.8608,0.3539,-39.2648,5290.22854904133,2.51,2531.08698798735,16.1933,32.5308994748357,96199.4,0.0099675453738169,0.0,8.93106210800055,36852.5425414951,9.49416108466208,36760.0,491569936304.256,295717.0,48.7475,22.5396,2.5904,4.5404,0.0629,0.0347,0.2332,0.3537,18.3924,8.4652,0.9714,0.0122,0.0783,1.514,0.3315,0.8897,1.3805,199.965416259464,10.4130391543999,14.5,21.5,408.9319,6.91543983273145,369.6671,41086468.0,69.4812507629394,-0.569555707316573,10.514707027094456
168,Latvia,LVA,2017,100.0,100.0,100.0,31.0636861812397,19330.0,8.85,-62.1180380343645,7.4321,3.82654532273942,0.1814,1.2494,0.0285,0.6196,0.5424,1.5713,3.2393,0.0002,0.3998,-6.5594,3.8801,0.4747,-4.2994,3600.46708762218,3.31,2265.21693915892,0.4285,54.6254841146126,33991.8,1.1708609951596,0.0,3.39894872623931,15132.4958333982,4.31935869681359,14360.0,5812590355.49766,62227.0,2.2557,1.2454,0.2211,0.1717,0.0138,0.0,0.0193,0.0077,0.5768,1.9689,0.0653,0.0004,0.0175,0.0448,0.0216,0.0415,0.056,31.2123033409935,48.477645495732,17.5,18.2,12.3325,6.34960108080945,8.0331,1320159.0,67.9706866054779,-0.827376795111087,9.624665833193427
169,Latvia,LVA,2018,100.0,100.0,100.0,31.1440371542899,19380.0,4.74,-58.6734355806332,8.1079,4.20714476222697,0.1818,1.2791,0.0299,0.7563,0.6617,1.9582,3.2407,0.0003,0.4056,-5.9299,3.9021,2.028,-1.891,3728.25702297769,3.35,2403.49981780927,0.4239,54.6876757677536,34030.5,0.993976242728764,0.0,4.30971286294503,17252.1710428626,5.12560422080688,16010.0,6431931746.92392,62227.0,2.2033,1.1922,0.2235,0.1686,0.0164,0.0,0.0206,0.0074,0.5746,1.9199,0.0669,0.0003,0.0208,0.0465,0.0226,0.0423,0.0567,30.9700612274415,48.6035488603412,17.5,18.2,12.9111,6.69949885168646,11.0201,1310787.0,68.0160346376376,-0.712446370389295,9.755751234136849
170,Latvia,LVA,2019,100.0,100.0,100.0,31.4975814357112,19600.0,4.34,-59.6933600419999,7.9078,4.13194121501373,0.1933,1.2635,0.0356,0.6771,0.6712,1.8424,3.2247,0.0,0.7417,-6.8034,3.9442,0.8218,-3.6043,3725.00681881596,3.16,2343.51581884881,0.4221,54.7498674208945,34069.2,1.13001985532043,0.0,0.675372771884227,17294.9751600969,1.37774612596324,17010.0,6487123053.09019,62227.0,2.1884,1.1849,0.2131,0.1715,0.016,0.0,0.0213,0.0066,0.575,2.0153,0.0694,0.0003,0.0203,0.0435,0.0236,0.0397,0.0537,30.755491989008,48.6555284999708,17.5,18.2,12.7841,6.67987932002036,9.1798,1302668.0,68.066323694246,-0.621325113241851,9.758229103713347
171,Latvia,LVA,2020,100.0,100.0,100.0,31.6406877711715,19690.0,5.62,-62.9080844687065,7.2771,3.82914774350693,0.2095,1.2804,0.0259,0.6826,0.6637,1.383,3.0319,0.0,0.7484,-4.2701,3.9906,0.7667,-0.8784,3669.13292595592,3.08,2251.38250119088,0.4148,54.8094166800579,34107.9,1.24316355744522,0.0,-3.46922750780554,17564.2321549354,-2.78996380720736,17350.0,6787535785.5113,62230.0,2.1616,1.1896,0.1867,0.1761,0.0172,0.0,0.0197,0.006,0.5664,2.0939,0.0683,0.0003,0.0217,0.0401,0.0224,0.0332,0.0552,30.5391129680219,48.7168692892901,17.5,18.2,12.1885,6.41348439237254,11.3101,1294607.0,68.1211222872228,-0.620729486315703,9.773676781517532
172,Latvia,LVA,2021,100.0,100.0,100.0,31.6567571910654,19700.0,5.5,-61.6169956827785,7.5304,3.99598830452802,0.2113,1.3535,0.0248,0.6567,0.7078,1.4506,3.1257,0.0,0.7547,-2.4983,4.038,0.8327,0.5442,3838.17372339466,3.1,2375.51850702838,0.4293,54.8716053350474,34146.6,1.09972035164877,0.0,6.94254173062592,20261.8887788916,7.8481957927218,19310.0,8053562628.99212,62230.0,2.1676,1.1743,0.1878,0.1811,0.0175,0.0,0.0226,0.0056,0.5787,2.0742,0.0673,0.0003,0.0222,0.0402,0.026,0.0339,0.0572,30.2826610959344,48.8583988008051,17.5,18.2,12.4485,6.60576601626965,12.9927,1284862.0,68.1808791463693,-0.75558546061657,9.916546352973574
184,Lithuania,LTU,2017,100.0,100.0,100.0,46.8590859022046,29353.0,2.33,-60.241214271275,13.9642,4.91240709777077,0.4652,1.3193,1.549,1.1552,2.7211,1.0635,5.6897,0.0012,0.1212,-7.5376,0.7429,1.3012,-6.3464,4203.84016401661,3.3,2653.39984329273,0.7713,35.0569116074137,21960.0,0.385285598105187,0.0,4.61224310312809,16800.1510246099,5.88872606993294,15260.0,12283258405.4494,62641.0,4.2196,2.317,0.2048,0.2617,0.0049,0.0036,0.0266,0.0153,1.3857,3.517,0.039,0.0014,0.0063,2.211,0.0329,0.0573,0.0835,45.3798470650213,28.0192697258326,17.7,17.0,24.9035,8.76069736607427,18.5571,1907448.0,67.1012954711914,-1.34404396155367,9.729202676414053
185,Lithuania,LTU,2018,100.0,100.0,100.0,47.0541274149768,29470.0,1.87,-60.0868963592931,14.0184,4.97247446083995,0.4345,1.3611,1.4823,1.2399,2.4375,1.0137,6.0486,0.0008,0.9729,-7.4911,0.81,1.5077,-5.269,4330.66118047673,3.22,2711.1618678975,0.619,35.0950023950184,21980.0,0.351605803322247,0.0,4.91836780106811,19247.2315367967,5.79066548228593,17550.0,13879558772.4133,62630.0,3.9307,2.1705,0.2093,0.2619,0.0054,0.0036,0.0258,0.0149,1.2393,3.4304,0.0393,0.0013,0.0069,2.2194,0.032,0.0636,0.0938,45.0135717707169,28.3178543185316,17.8,17.0,24.4549,8.67441118047673,19.1859,1892993.0,67.1464742010457,-0.76070486060873,9.865174467277434
186,Lithuania,LTU,2019,100.0,100.0,100.0,47.5087831363781,29750.0,2.19,-59.295091722353,14.2965,5.08575146500164,0.4332,1.2966,1.4778,1.2785,2.6991,0.838,6.2718,0.0015,0.0059,-7.2802,0.7692,1.7416,-5.5909,4421.41817637222,3.06,2707.60764686504,0.6202,35.1325455126158,22000.0,0.317308048932071,0.0,4.67735183530451,19608.7943945553,4.97938353929399,19200.0,13921857769.7647,62620.0,3.8391,2.1121,0.1978,0.2608,0.0056,0.0036,0.0254,0.0143,1.2195,3.4693,0.0392,0.0013,0.0072,2.1951,0.0316,0.065,0.0919,44.8912328329607,28.4374161855796,17.8,17.0,24.6564,8.77112037363456,19.0655,1890337.0,67.245735168457,-0.140405433114721,9.883784434411067
187,Lithuania,LTU,2020,100.0,100.0,100.0,46.9945704247844,29428.0,2.27,-59.4158127457484,14.2541,5.07196741780172,0.474,1.218,1.3556,1.167,2.6364,1.2912,6.1102,0.0018,0.0895,-7.4093,0.835,1.7041,-5.6327,4438.91887506587,3.0,2674.06840356432,0.5941,35.1485148514851,22010.0,0.302338974212566,0.0,0.0428158336981426,20428.6478157394,0.068446214406265,19800.0,14231118176.7082,62620.0,3.7302,2.077,0.1946,0.247,0.0059,0.0033,0.0271,0.0134,1.162,3.6456,0.0401,0.0012,0.0075,1.9897,0.0333,0.0645,0.0895,44.8797349089748,28.4391188155178,17.8,17.0,24.4498,8.69985400493672,18.8171,1894904.0,67.4254608154297,0.241305756546441,9.924742449079597
188,Lithuania,LTU,2021,100.0,100.0,100.0,46.9222168982591,29378.0,2.14,-59.1945857759885,14.3318,5.10322677130588,0.4111,1.3981,1.3334,1.2577,2.4161,1.4214,6.0921,0.0019,0.0951,-7.4373,0.8452,1.8435,-5.8835,4698.79432270562,2.94,2774.31979458134,0.6074,35.1807490816164,22026.667,0.270178087184519,0.0,6.38001606179873,23870.4594851722,6.45535837727842,22050.0,16664640654.3873,62610.0,3.6555,2.0501,0.1985,0.2475,0.0063,0.0033,0.0337,0.0129,1.1034,3.4649,0.0411,0.0012,0.008,1.9844,0.0416,0.0648,0.087,44.8551349624661,28.1962833695723,17.8,17.1,24.2878,8.64833106630869,18.4043,1915068.0,68.1912117004395,1.05849535200157,10.080438860537539
232,Netherlands,NLD,2017,100.0,100.0,100.0,54.024354024354,18190.0,3.02,2.03733691870007,168.176,9.81688717537774,0.0304,31.3101,12.6937,23.8024,12.0265,58.4663,29.8466,0.0139,0.6931,-2.4174,5.1956,-0.1223,3.4632,6727.97901571486,3.3,4365.20385335267,1.5958,10.8910008910009,3667.0,0.00587042401410181,0.0,2.78154619309936,49513.6817346384,2.17569091526914,46710.0,145226163641.177,33670.0,20.3149,13.3964,0.2844,2.3094,0.0203,0.0907,0.1293,0.0721,4.0123,5.7838,0.1637,0.0065,0.0236,1.6072,0.2124,0.2691,0.5779,508.8,7.19444646233332,21.2,11.2,198.731,11.6004650202763,202.1942,15610374.0,91.1219700676602,1.18739056358927,10.810024505279255
233,Netherlands,NLD,2018,100.0,100.0,100.0,54.1431541431541,18230.0,3.17,-1.04545556586321,163.095,9.46486529650368,0.0272,31.3792,13.1193,23.1563,11.3987,54.1494,29.8648,0.0129,0.7136,-2.4059,5.1841,-0.2612,3.3672,6790.77027214614,3.16,4251.16716726453,1.2946,10.9186219186219,3676.3,0.00617904324612337,0.0,2.2587403735731,53955.0770024266,1.66335743670078,51290.0,161068023683.137,33670.0,19.1385,12.541,0.2944,2.1151,0.0194,0.0892,0.1273,0.072,3.8802,5.5022,0.1779,0.0067,0.0223,1.5991,0.1963,0.2688,0.5825,511.779744579745,7.09187369497592,21.2,11.2,191.8839,11.1355667927759,195.2511,15957560.0,92.6062472401044,2.19970048875043,10.895925605722265
234,Netherlands,NLD,2019,100.0,100.0,100.0,53.959013959014,18168.0,3.75,-4.15227453780864,157.9744,9.10784361996519,0.1135,30.1164,13.8054,22.491,11.1696,50.8374,29.4412,0.0071,0.7346,-2.3943,5.1726,-0.6231,3.0162,6757.32784222013,3.03,4129.40909477343,1.2988,10.9465399465399,3685.7,0.00462812658848738,0.0,2.30009157916757,53554.9007491475,1.63214291771632,52940.0,158960902494.117,33670.0,19.0272,12.6543,0.3019,2.0203,0.0194,0.0896,0.1436,0.0719,3.7261,5.5884,0.1716,0.0069,0.0226,1.585,0.1835,0.2642,0.5777,515.143272943273,7.00235946205444,25.3,22.5,186.7,10.7639871007423,189.7162,16285068.0,93.8898028856479,2.03159162127433,10.888481261199246
235,Netherlands,NLD,2020,100.0,100.0,100.0,53.8892188892189,18144.5,4.82,-13.7470945242058,142.1604,8.15069804775965,0.1445,28.5542,12.1112,22.4366,11.2519,42.6104,25.0517,0.0004,0.7552,-2.3935,5.1611,-1.0216,2.6328,6643.57996731932,3.05,3975.37813564997,1.2477,10.974160974161,3695.0,0.0038449159650371,0.0,-3.86795333823223,53467.9277413737,-4.40052537279003,51490.0,162074201271.596,33670.0,18.4767,12.4731,0.3061,1.8091,0.0177,0.0945,0.1654,0.0606,3.5503,5.6035,0.1792,0.0061,0.02,1.6497,0.1821,0.2256,0.5926,518.013068013068,6.98923066525776,25.3,22.5,170.3436,9.76656824241034,172.9764,16439177.0,94.2532277765935,0.94187132064814,10.886855974279458
236,Netherlands,NLD,2021,100.0,100.0,100.0,53.8164538164538,18120.0,5.28,-11.4813239565315,145.8948,8.32113351224123,0.1528,30.9099,13.3789,22.2785,11.0696,42.8864,25.2186,0.0,0.8108,-2.3978,5.1495,-0.9976,2.6899,6708.8179325849,2.95,4057.79129205731,1.2501,11.001980991981,3704.367,0.0038528051239681,0.0,6.2768306708326,60141.9880911492,5.72193522957718,59560.0,186706202608.524,33670.0,18.1256,12.3036,0.3149,1.7931,0.0168,0.0946,0.1772,0.0618,3.3636,5.4314,0.167,0.0065,0.0189,1.6331,0.2258,0.2258,0.6107,520.731927531928,6.97660864393348,25.3,22.5,173.5896,9.90071090906975,176.2795,16591428.0,94.6294783220315,0.921884889970005,11.004480140894351
240,North Macedonia,MKD,2017,100.0,100.0,100.0,50.1982553528945,12660.0,4.12,-28.6849207342139,7.9803,4.20312884317705,0.024,0.2904,0.0019,0.8717,0.4989,4.1395,2.1344,0.0195,0.0,-2.7,0.0,0.0,-2.7,3464.55415591126,3.52,1438.49195928251,0.5728,39.7101506740682,10014.9,0.14891142080154,0.0,1.08177273813243,5955.2973863451,1.48936718625188,5390.0,2742975280.66078,25220.0,1.676,0.8608,0.0791,0.155,0.0017,0.0011,0.0017,0.0061,0.5705,0.3079,0.013,0.0,0.0026,0.0343,0.0137,0.0219,0.0797,75.2837827121332,50.7728357469482,9.7,9.7,10.7022,5.63672111392421,8.0022,1134329.0,59.7437719356273,0.204382287068939,8.692204323105615
241,North Macedonia,MKD,2018,99.8,99.8,99.8,50.1189532117367,12640.0,6.56,-32.5954853353827,7.5427,3.99285143704431,0.0148,0.2735,0.0024,0.9356,0.5554,3.6073,2.1341,0.0196,0.0,-3.1,0.0,0.0,-3.1,3457.82088466643,3.25,1370.12165061411,0.5909,39.7101506740682,10014.9,0.14829259459869,0.0,2.88059670964267,6713.98925398989,3.40375411089484,6050.0,3050332403.78645,25220.0,1.6501,0.8534,0.0666,0.1468,0.002,0.0015,0.0015,0.0061,0.5722,0.2963,0.0116,0.0,0.003,0.0326,0.0119,0.0219,0.0805,74.9028945281523,51.4079351223496,9.7,9.7,10.2414,5.42145235888285,7.1414,1136416.0,60.1580316016216,0.183816376355572,8.812097508656711
242,North Macedonia,MKD,2019,100.0,100.0,100.0,50.1586042823156,12650.0,4.1,-22.4517881717932,8.6778,4.62504703500897,0.0241,0.2658,0.004,1.0683,0.6743,4.3149,2.3068,0.0196,0.0,-3.5,0.0,0.0,-3.5,3580.52340238197,3.4,1503.51336885666,0.625,39.7101506740682,10014.9,0.140752635201967,0.0,3.91041953840173,6718.85826635458,4.61869501137757,6520.0,2988141342.96197,25220.0,1.5844,0.7414,0.0699,0.157,0.0022,0.0026,0.0018,0.0066,0.6028,0.2789,0.0119,0.0,0.0033,0.0352,0.0142,0.0237,0.0827,74.3957969865186,51.8438261777693,10.6,10.6,11.3372,6.04243970191796,7.8372,1137553.0,60.6286848102132,0.100001371588843,8.812822341978487
243,North Macedonia,MKD,2020,100.0,100.0,100.0,50.0396510705789,12620.0,4.91,-32.2585834033351,7.5804,4.08399438830595,0.0381,0.2257,0.0031,1.0655,0.7381,3.5393,1.9508,0.0197,0.0,-1.5,0.0,0.0,-1.5,3581.11850285865,3.26,1388.54646388838,0.6634,39.7101506740682,10014.9,0.14028307398639,0.0,-4.68845000956652,6659.59651070776,-3.65436823824773,6460.0,2811319561.19132,25220.0,1.5783,0.7382,0.0694,0.1274,0.002,0.0031,0.0017,0.0051,0.6315,0.3075,0.0117,0.0,0.0032,0.0296,0.011,0.02,0.0834,73.5973037272006,52.4382197564643,9.0,9.0,10.2885,5.54300251491818,8.7885,1135193.0,61.1593302746435,-0.207678363374453,8.803964325695961
248,Norway,NOR,2017,100.0,100.0,100.0,2.69802778789613,9851.12,41.71,30.5556167522196,47.4084,8.98402264330578,0.0054,2.7005,14.1136,6.3721,7.9079,2.2606,13.9547,0.0936,1.9064,-21.6112,4.3741,-0.5131,-16.0802,24007.5361457564,3.74,5673.5093152418,1.5526,33.2945336229161,121566.0,0.041236013714752,0.0,2.46374626574153,76131.8384032764,1.63950712591077,76230.0,122505661898.045,365123.0,9.182,2.8323,0.1868,4.3501,0.0298,0.1239,0.02,0.0306,1.6086,2.2956,0.0642,0.0136,0.0277,1.1662,0.0236,0.122,0.1353,14.452576255125,23.0596303943402,5.1,17.1,61.9913,11.7475224409168,45.9111,4325529.0,81.9699745912375,1.16205265194033,11.240234967242131
249,Norway,NOR,2018,100.0,100.0,100.0,2.70133768638321,9862.8,41.75,28.4406600427397,46.6404,8.78033462878555,0.0051,2.6815,13.5834,6.4709,7.5903,2.2705,13.9477,0.0909,1.861,-18.4236,4.375,-0.542,-13.1117,24357.3128791946,3.65,5539.19011908654,1.5739,33.3172650284299,121644.0,0.0527288108491556,0.0,0.828931500516902,82792.8427113304,0.165560788690883,80970.0,143567291730.71,365108.0,9.0543,2.8133,0.1839,4.2932,0.0308,0.1155,0.0212,0.0333,1.5631,2.291,0.0641,0.0134,0.0286,1.1692,0.025,0.1219,0.1372,14.5488896436123,23.1694216966364,5.1,17.1,61.1188,11.5059801397462,48.0071,4368797.0,82.2452112401723,0.995324012510003,11.324108974218527
250,Norway,NOR,2019,100.0,100.0,100.0,2.69589201685045,9842.54,40.29,24.8777290652332,45.3466,8.47933467666537,0.0062,2.4754,13.1445,6.3395,7.5092,2.1974,13.5958,0.0785,2.1817,-14.7116,4.5868,-0.4177,-8.8348,23926.0449343069,3.43,5220.68866140147,1.5749,33.3399069828592,121722.0,0.0444070979953125,0.0,1.12374694968757,76430.5889473338,0.44339856309783,82430.0,121905340909.091,365094.0,8.7824,2.7592,0.1717,4.153,0.0325,0.1134,0.0216,0.0347,1.4962,2.2962,0.0616,0.0124,0.0314,1.1626,0.0255,0.1189,0.1372,14.6479975020132,23.2736756662045,5.0,16.8,59.5497,11.1351641841951,50.7149,4411671.0,82.4935894878281,0.976584408637111,11.244151357597355
251,Norway,NOR,2020,100.0,100.0,100.0,2.70656765993659,9859.62,47.15,20.3649952633782,43.7079,8.12493784244745,0.0056,2.3931,12.7581,6.5,7.3307,1.8108,12.8251,0.0846,1.9405,-21.1236,4.1546,-0.4844,-15.9634,23863.2952100344,3.44,5145.72221927617,1.4458,33.4353596771758,121800.0,0.0411857622932454,0.0,-1.27817177234034,68340.0181033702,-1.85769609648001,78610.0,98831507213.0277,364285.0,8.8206,2.7569,0.1855,4.202,0.0341,0.1114,0.0201,0.0337,1.477,2.3008,0.0639,0.0121,0.0326,1.1698,0.024,0.1119,0.1426,14.7672152298338,23.4070812074749,5.7,17.6,57.8321,10.7505100404779,41.8687,4448987.0,82.7029885700532,0.842290056016846,11.132265423178598
252,Norway,NOR,2021,100.0,100.0,100.0,2.70403821341313,9850.0,46.76,22.3474917935273,44.4278,8.21471362641264,0.0051,2.4238,12.4392,6.6766,7.8165,1.6653,13.342,0.0593,2.1103,-16.1151,4.1648,-0.4387,-10.5742,24650.1686290752,3.43,5298.87662808584,1.3544,33.4581491750625,121878.0,0.0403713388100448,0.0,3.90868676830634,93072.8925119571,3.35449506555356,81770.0,190786146682.189,364270.0,8.9657,2.8043,0.2012,4.2712,0.0364,0.1234,0.0223,0.0353,1.4717,2.2792,0.0678,0.0125,0.0357,1.2801,0.0276,0.1168,0.1416,14.8470090866665,23.5680603667958,15.1,29.9,58.7091,10.8553303058991,48.1349,4481404.0,82.8612877226956,0.725996037206213,11.441148999792414
256,Poland,POL,2017,100.0,100.0,100.0,47.2321107808877,144620.0,1.53,-11.1171014378848,330.2221,8.69581601242887,2.0226,54.2695,11.2547,30.6417,18.7278,151.562,61.5437,0.1999,0.5071,-41.7255,4.7435,-3.2955,-44.3394,4285.89192219077,3.81,2734.42727608835,6.0462,30.8533916849015,94470.0,0.229462841468825,0.0,5.15245773325907,13913.3402919927,5.13933542172569,12780.0,152214676311.097,306190.0,49.0445,19.6686,3.8718,18.7066,0.1278,0.0241,0.0964,0.2191,6.3301,16.9885,0.961,0.0079,0.167,5.482,2.5841,0.4715,0.8352,124.0237303635,7.69933542017144,38.1,39.7,412.81,10.8706225540046,368.4706,22840296.0,60.145888199417,-0.144250430522004,9.540675262990094
257,Poland,POL,2018,100.0,100.0,100.0,47.39850409903,145120.0,1.26,-11.2756910775025,329.6329,8.68031784277711,1.7432,52.2332,11.0967,31.1399,19.895,149.9867,63.3229,0.2154,0.3374,-40.3053,4.7415,-3.8064,-43.8061,4393.41931151621,3.77,2865.52683144763,5.89,30.8946010386387,94590.0,0.201573823903604,0.0,6.2458584723942,15658.2120316794,6.24607110540019,14310.0,171615067625.537,306170.0,49.4452,19.8486,4.7785,17.9401,0.131,0.0232,0.1016,0.2212,6.401,15.9369,1.1254,0.0077,0.1709,5.4796,2.6367,0.4995,0.8436,124.031583760656,7.75176537250305,38.1,39.7,411.6684,10.8405822289811,367.8623,22805102.0,60.0533306480907,-0.154206156660708,9.658814651016986
258,Poland,POL,2019,100.0,100.0,100.0,47.4437293783281,145230.0,1.55,-16.0027497484018,312.0707,8.21985501300853,1.8978,46.7849,11.1482,30.9024,19.3884,137.4348,64.2933,0.2208,0.3493,-22.229,4.7395,-3.3652,-25.2356,4363.43809737663,3.48,2761.07246212926,5.6037,30.939858220901,94710.0,0.180467484565781,0.0,4.58045817256199,15874.5220531254,4.60600727341085,15510.0,173762917141.462,306110.0,48.2804,19.9881,4.1406,17.6151,0.1349,0.0223,0.112,0.2262,6.0412,16.2438,1.1082,0.0078,0.1754,5.4213,2.3641,0.5105,0.87,124.025595374212,7.80112341293752,38.1,39.7,392.6558,10.3424440231552,367.4202,22765093.0,59.9626184068963,-0.175592886007763,9.672533708456431
259,Poland,POL,2020,100.0,100.0,100.0,48.1266128768824,147330.0,1.78,-20.0915201107651,296.8799,7.91347409626485,1.9052,47.7752,10.762,28.5071,19.2408,127.1245,61.3837,0.1814,0.2966,-22.9888,4.7375,-3.3282,-26.109,4299.90093760092,3.44,2710.95606232103,5.404,30.9770358997811,94830.0,0.186905995530618,0.0,-2.03556882399977,16150.9304813473,-0.861202002378917,15640.0,173091209031.597,306130.0,46.606,20.1545,4.0958,16.0029,0.135,0.0197,0.1185,0.2036,5.876,16.5906,1.1059,0.0076,0.1747,5.306,2.1688,0.4966,0.8843,122.548420605625,7.93892951013638,38.0,39.5,375.6244,10.012445973355,349.5154,22462109.0,59.8738141138092,-1.33985088278536,9.68979485595588
260,Poland,POL,2021,100.0,100.0,100.0,47.3691604050964,144997.0,1.9,-12.7885371882208,324.0123,8.76145594619199,1.7747,49.3491,11.1851,29.8841,19.3569,145.8386,66.4286,0.1953,0.3217,-22.9785,4.7394,-3.5569,-26.8584,4631.20010705876,3.42,2920.11352538648,5.3331,31.0192747468148,94950.0,0.163813641500021,0.0,6.92718266052501,18635.5104895754,8.47171799983406,17470.0,196317027381.082,306100.0,47.081,19.7818,4.0112,16.975,0.1213,0.0206,0.12,0.213,5.838,15.7756,1.1125,0.0079,0.1581,5.6972,2.5211,0.548,0.8947,120.815285854296,8.09104000123697,38.0,39.5,403.1414,10.9011467039559,376.283,22118541.0,59.8096513205543,-1.5413629098982,9.832877865219565
