,Country Name,Country Code,Year,Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Agricultural land (% of land area),Agricultural land (sq. km),Alternative and nuclear energy (% of total energy use),Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Waste (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Electric power consumption (kWh per capita),Energy intensity level of primary energy (MJ/$2021 PPP GDP),Energy use (kg of oil equivalent per capita),F-gases emissions from Industrial Processes (Mt CO2e),Forest area (% of land area),Forest area (sq. km),Forest rents (% of GDP),Fossil fuel energy consumption (% of total),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"GNI per capita, Atlas method (current US$)","Industry (including construction), value added (current US$)",Land area (sq. km),Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),Methane (CH4) emissions from Agriculture (Mt CO2e),Methane (CH4) emissions from Building (Energy) (Mt CO2e),Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e),Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e),Methane (CH4) emissions from Industrial Processes (Mt CO2e),Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),Methane (CH4) emissions from Transport (Energy) (Mt CO2e),Methane (CH4) emissions from Waste (Mt CO2e),Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Waste (Mt CO2e),Population density (people per sq. km of land area),Population in the largest city (% of urban population),Terrestrial and marine protected areas (% of total territorial area),Terrestrial protected areas (% of total land area),Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),Total greenhouse gas emissions including LULUCF (Mt CO2e),Urban population,Urban population (% of total population),Urban population growth (annual %),GDP_per_capita_log
138,Hungary,HUN,2019,100.0,100.0,100.0,57.8347578347578,52780.0,17.72,-28.7900637812771,51.5028,5.31240175169761,0.167,11.2667,3.5949,6.6414,4.577,10.8952,14.3388,0.0217,0.3864,-5.019,0.0597,-0.1445,-5.4148,4495.49161490709,3.46,2749.24131881139,2.1179,22.5122726276572,20544.7,0.0924560080129208,0.0,5.07718495088933,17012.8598553199,5.2087641343076,16840.0,40630069497.0068,91260.0,11.0864,3.6067,0.5146,2.1312,0.0177,0.0058,0.0335,0.0212,4.7556,4.6503,0.1853,0.0025,0.0231,0.3785,0.0492,0.126,0.1967,106.233004602235,25.8235543513078,22.6,22.6,70.3185,7.2532002643885,64.9037,6830636.0,70.4565277099609,-0.145941347427049,9.741783576480623
139,Hungary,HUN,2020,100.0,100.0,100.0,53.8754394039009,49166.726,18.0,-31.3489193961173,49.6521,5.13443109342005,0.1609,11.8877,3.3786,6.5896,4.5947,10.7519,12.2709,0.0177,0.2433,-6.7907,0.0584,-0.0219,-7.1294,4494.94484158339,3.56,2713.17923384455,2.16,22.4962743808898,20530.1,0.0843097428263276,0.0,-4.33872540024058,16386.9308821258,-4.09730738033811,16330.0,38602424268.6609,91260.0,11.1283,3.6804,0.5092,2.1028,0.0175,0.0061,0.0331,0.0179,4.7612,4.8071,0.1874,0.0024,0.0228,0.3662,0.0476,0.1096,0.1975,105.965581854043,26.0106171308443,22.6,22.6,68.681,7.10217416639341,61.5516,6797505.0,70.2917327880859,-0.486215475310381,9.704300421067302
140,Hungary,HUN,2021,100.0,100.0,100.0,55.2672430418584,50436.886,17.61,-29.504613185151,50.986,5.29398400902426,0.145,12.5769,3.0344,6.8821,4.7063,10.0232,13.6,0.0182,0.3852,-6.7348,0.0584,0.0028,-7.2218,4757.79498806554,3.48,2850.7057950255,2.1696,22.4803495507342,20515.567,0.0781133973061465,0.0,7.22291580811137,19030.628130329,7.66253175353751,18070.0,43800341425.4651,91260.0,11.0753,3.5988,0.5255,2.0998,0.0204,0.0065,0.0351,0.0183,4.771,4.7649,0.1862,0.0022,0.0263,0.3703,0.0473,0.1219,0.1946,105.532895025203,26.2052640803019,22.6,22.6,69.9447,7.26250585093945,62.7229,6761485.0,70.2059275331413,-0.53130926026005,9.853857512612047
144,Ireland,IRL,2017,100.0,100.0,100.0,65.1618522281899,44890.0,5.25,18.3183257470809,38.2632,7.92618041220563,0.167,8.3282,0.5593,3.8838,2.037,11.6039,11.6747,0.0092,0.2046,-5.9666,6.4453,1.1502,0.9645,5829.58480106972,1.51,2854.85820468032,1.2422,11.1775293946872,7700.2,0.0142275300536967,0.0,10.1088576065965,72161.4047531385,8.63259519638329,54410.0,126293816470.445,68890.0,20.7981,17.3515,0.1718,1.3001,0.012,0.0,0.0201,0.0111,1.9317,8.727,0.0763,0.0006,0.0155,0.1391,0.4091,0.1194,0.1167,70.0746842792858,39.1360431109061,4.0,14.4,69.9073,14.4812214328698,70.8718,3036633.0,62.9035196521232,1.63730061762284,11.186674479474169
145,Ireland,IRL,2018,100.0,100.0,100.0,65.5537813906227,45160.0,6.01,17.5823768058579,38.0252,7.76337876800063,0.1648,8.9672,0.5522,4.1123,2.1176,10.261,11.8423,0.0078,0.395,-5.5501,6.3193,-0.2127,0.1257,5923.81986034362,1.41,2820.44138030583,0.9277,11.2355929743069,7740.2,0.0179594813091044,0.0,7.68865937437435,80804.1123164826,6.13694267880518,59110.0,145839126364.049,68890.0,19.0219,15.5296,0.1817,1.3081,0.0123,0.0,0.0224,0.0104,1.9575,8.3584,0.0816,0.0006,0.0158,0.14,0.3947,0.1217,0.1189,71.0991725939904,38.8824844897391,4.0,14.4,67.2065,13.7211511095704,67.3322,3089890.0,63.0844503476779,1.73861557460969,11.299795513751242
146,Ireland,IRL,2019,100.0,100.0,100.0,65.6699085498621,45240.0,7.08,12.4610379972294,36.369,7.30821291296457,0.1738,8.7059,0.5238,4.0201,2.0951,9.0105,11.8293,0.0106,0.1433,-5.0118,6.3836,-0.3597,0.289,5926.10484248228,1.33,2747.90158131447,0.9129,11.2936565539265,7780.2,0.0141042059529149,0.0,4.97288003766816,81827.6688873996,3.31840085150145,62460.0,146111297560.384,68890.0,18.9552,15.5657,0.164,1.2845,0.0117,0.0,0.0222,0.01,1.8971,8.2011,0.0818,0.0005,0.0151,0.1385,0.3591,0.1228,0.1224,72.237712294963,38.5756678442626,4.0,14.4,65.2785,13.1174675311105,65.5675,3148788.0,63.2737009154127,1.88821253224221,11.312382936584767
147,Ireland,IRL,2020,100.0,100.0,100.0,65.495717811003,45120.0,8.35,6.04251187413418,34.2933,6.80456776897729,0.1839,9.094,0.552,4.0637,1.9962,8.4307,9.9622,0.0106,0.1844,-4.7855,6.6032,-0.2925,0.9005,5951.88607682092,1.21,2633.97691248454,0.763,11.3517201335462,7820.2,0.0116072087265736,0.0,7.15369505735335,86514.0706108754,5.80801946810749,64420.0,162109763547.448,68890.0,18.9124,15.583,0.1741,1.2591,0.0114,0.0,0.0228,0.008,1.8539,8.2851,0.0863,0.0006,0.0147,0.1328,0.1875,0.1036,0.1264,73.1564377993903,38.3950518867261,4.0,14.4,62.9056,12.4818964126572,63.8061,3198795.0,63.4713366724915,1.57565594952931,11.368073904459582
148,Ireland,IRL,2021,100.0,100.0,100.0,62.9554362026419,43370.0,6.84,12.5030922224421,36.3826,7.11906758228265,0.1731,8.7395,0.5063,4.0141,2.3566,9.9614,10.6198,0.0119,0.0199,-4.0712,5.8766,-0.4079,0.4547,6106.1502743815,1.09,2689.36333693732,0.8043,11.4097837131659,7860.2,0.0117159689556259,0.0,16.2581881158197,103783.446284479,14.6467292457005,74070.0,201797042879.45,68890.0,19.0845,15.916,0.1542,1.2467,0.0112,0.0,0.022,0.0083,1.7261,8.279,0.0762,0.0005,0.0145,0.1362,0.0837,0.1108,0.1284,74.1847147626651,38.163574286119,4.0,14.4,65.1008,12.7384242704113,65.5555,3254289.0,63.6774229356985,1.71996422325885,11.550071395369551
152,Italy,ITA,2017,100.0,100.0,100.0,43.3743295977925,128265.7,8.11,-18.8650123516192,345.6817,5.7611454316748,0.8821,70.7581,13.6154,31.923,21.8091,109.0679,97.6111,0.015,1.9017,-29.641,0.8752,-1.2258,-28.0306,5248.5196722283,2.54,2557.32535513975,17.5438,31.8029338761929,94047.0,0.0102964352434856,0.0,1.60369995294101,32844.115660604,1.79499729937032,31790.0,409764395512.118,295718.0,48.129,22.1356,2.5715,4.481,0.048,0.0415,0.2496,0.3805,18.2214,9.3621,0.9756,0.0107,0.0584,1.6364,0.4839,0.8713,1.3716,202.903617635721,10.0144913697513,13.3,21.5,426.1244,7.10180677885223,398.0938,41712413.0,69.5180784259382,-0.301452905692446,10.399558326727101
153,Italy,ITA,2018,100.0,100.0,100.0,41.948748469826,124050.0,8.84,-20.1109239950007,340.3734,5.65886939655412,0.8418,71.2987,13.5604,32.2262,21.1065,101.1224,100.2026,0.0148,1.8996,-47.7065,0.8752,-5.4165,-50.0841,5247.31574227309,2.47,2503.3498604998,17.9952,31.9848977742309,94585.1,0.0109482395857409,0.0,0.826646712344115,34904.1081923834,0.581227670101029,34120.0,440599011390.117,295718.0,48.6083,22.8164,2.3924,4.4895,0.0506,0.0392,0.2417,0.3776,18.201,9.5074,0.9908,0.0105,0.0622,1.5932,0.4501,0.9017,1.3804,203.398704170865,10.0731755349021,13.4,21.5,421.8733,7.01384393314311,371.7892,41791290.0,69.4800033569336,0.188918624266272,10.460388464023918
